04/04/2026,TESCO STORES 4471 LONDON,-44.21
05/04/2026,GREGGS PLC LONDON,-2.85
07/04/2026,TFL TRAVEL CHARGE TFL.GOV.UK,-6.40
09/04/2026,ACME LTD SALARY APRIL,2520.18
11/04/2026,NETFLIX.COM,-10.99
13/04/2026,TRANSFER TO SAVINGS POT,-275.00
15/04/2026,PRET A MANGER KINGS CROSS,-8.10
18/04/2026,AMAZON.CO.UK*MK12AB,-31.75
21/04/2026,BRITISH GAS ENERGY DD,-69.30
24/04/2026,SAINSBURYS SMKT ISLINGTON,-39.62
27/04/2026,SPOTIFY UK,-11.99
30/04/2026,COSTA COFFEE 221 LONDON,-3.95
03/05/2026,SHELL FUEL CENTRAL,-55.20
07/05/2026,FROM J SMITH DINNER,18.50
11/05/2026,UBER TRIP HELP.UBER.COM,-13.40
14/05/2026,COUNCIL TAX ISLINGTON LBC,-162.00
