Account Name:,FlexAccount
Account Balance:,£2104.66
Available Balance:,£2104.66
Date,Transaction type,Description,Paid out,Paid in,Balance
05 Apr 2026,Direct debit,British Gas Energy,£74.20,,£1925.80
06 Apr 2026,Visa purchase,Tesco Stores 2231 Swindon,£51.43,,£1874.37
08 Apr 2026,Visa purchase,Greggs Swindon,£3.65,,£1870.72
10 Apr 2026,Bank credit,Acme Ltd Salary,,£2310.00,£4180.72
13 Apr 2026,Visa purchase,TfL Travel Charge,£7.20,,£4173.52
16 Apr 2026,Direct debit,Netflix.com,£10.99,,£4162.53
19 Apr 2026,Transfer,Transfer To Savings,£300.00,,£3862.53
22 Apr 2026,Visa purchase,Sainsburys Smkt Swindon,£36.88,,£3825.65
26 Apr 2026,Direct debit,Thames Water,£42.50,,£3783.15
29-Apr-26,Visa purchase,Amazon Co Uk,£19.99,,£3763.16
02-May-26,Visa purchase,Costa Coffee 882,£4.25,,£3758.91
05-May-26,Visa purchase,Shell Fuel Station,£48.70,,£3710.21
09-May-26,Faster payment,From J Smith Refund,,£25.00,£3735.21
13-May-26,Direct debit,Vodafone Ltd,£26.00,,£3709.21
